ID,first name,second name,email,ui_lang,ui_settings,employee_account,access_rights,logon_status,logon_last_modif
69,Ruth,Clarke,ruth.clarke69@gmail.com,ro,default,True,complete access,0,1620916420.38232
70,Catherine,Thomas,catherine.thomas70@gmail.com,it,default,False,complete access,2,1620916420.38232
71,James,Smith,james.smith71@gmail.com,fr,default,True,complete access,2,1620916420.38232
72,Christine,White,christine.white72@gmail.com,cz,default,False,complete access,2,1620916420.38232
73,Debra,Barnes,debra.barnes73@gmail.com,hu,default,True,complete access,0,1620916420.38232
74,Deborah,Young,deborah.young74@gmail.com,nl,default,True,complete access,2,1620916420.38232
75,Jozef,Taylor,jozef.taylor75@gmail.com,en,default,True,complete access,2,1620916420.38232
76,Yaya,Roberts,yaya.roberts76@gmail.com,ru,default,True,complete access,2,1620916420.38232
77,Deborah,Taylor,deborah.taylor77@gmail.com,pl,default,False,complete access,0,1620916420.38232
78,Steven,Clark,steven.clark78@gmail.com,ru,default,False,complete access,0,1620916420.38232
79,Cynthia,Wilson,cynthia.wilson79@gmail.com,vi,default,True,complete access,0,1620916420.38232
80,Patrick,Clark,patrick.clark80@gmail.com,mn,default,True,complete access,0,1620916420.38232
81,Yaya,Green,yaya.green81@gmail.com,es,default,False,complete access,2,1620916420.38232
82,Emily,Harris,emily.harris82@gmail.com,pt,default,False,complete access,0,1620916420.38232
83,Gregory,Davis,gregory.davis83@gmail.com,pt,default,False,complete access,2,1620916420.38232
84,Susan,Barker,susan.barker84@gmail.com,nl,default,True,complete access,0,1620916420.38232
85,Frank,Jones,frank.jones85@gmail.com,zh,default,False,complete access,0,1620916420.38232
86,Jennifer,King,jennifer.king86@gmail.com,uk,default,True,complete access,0,1620916420.38232
87,Matthew,Edwards,matthew.edwards87@gmail.com,ja,default,False,complete access,0,1620916420.38232
88,Alexander,Edwards,alexander.edwards88@gmail.com,it,default,True,complete access,2,1620916420.38232
89,Krystof,Clark,krystof.clark89@gmail.com,pt,default,True,complete access,0,1620916420.38232
90,Patricia,Allen,patricia.allen90@gmail.com,sk,default,True,complete access,0,1620916420.38232
91,Robert,Martin,robert.martin91@gmail.com,pt,default,True,complete access,0,1620916420.38232
92,Frank,Bennett,frank.bennett92@gmail.com,tr,default,False,complete access,2,1620916420.38232
93,Linda,Davis,linda.davis93@gmail.com,en,default,True,complete access,2,1620916420.38232
94,Fero,Harris,fero.harris94@gmail.com,cz,default,True,complete access,2,1620916420.38232
95,Robert,Wright,robert.wright95@gmail.com,tr,default,True,complete access,2,1620916420.38232
96,David,Martin,david.martin96@gmail.com,mn,default,False,complete access,2,1620916420.38232
97,Jennifer,Brown,jennifer.brown97@gmail.com,tr,default,False,complete access,2,1620916420.38232
98,Melissa,Atkinson,melissa.atkinson98@gmail.com,pt,default,False,complete access,2,1620916420.38232
99,Patrick,Brown,patrick.brown99@gmail.com,fr,default,False,complete access,2,1620916420.38232
